商品ID,用户昵称,评分,评论内容,评论时间,点赞数,回复数,用户级别,商品颜色,商品规格,购买时间,订单商品名称
100327958810,桔子orange,5,6.5L容量大容量，日常做全家餐轻松搞定，旋钮操作简单，老人也能轻松上手，不锈钢炸蓝，健康无异味。,2026-05-08 21:20:59,0,0,,【0涂层不锈钢】炎烤双热源 6.5L,,2026-05-07 21:47:51,美的（Midea）空气炸锅不锈钢0涂层 2026新款家用实用大容量6.5L全自动空气炸锅蒸烤一体金属内腔 MF-KZE6559PRO
100327958810,g***x,5,美的的电器真的是绝绝子，颜值高，功率大，烤出来的东西非常棒，建议大家都下手这款炸锅！,2026-05-07 14:10:05,0,0,,【0涂层不锈钢】炎烤双热源 6.5L,,2026-05-05 20:52:39,美的（Midea）空气炸锅不锈钢0涂层 2026新款家用实用大容量6.5L全自动空气炸锅蒸烤一体金属内腔 MF-KZE6559PRO
100327958810,李木子-319,5,收到客气炸锅已经有好几天了。几天用下来的心得是，方便！能用极少的时间，享受到像油炸一样和烧烤一样的美食。这款是经过我一番对比才下手的可谓用得舒心！每次的食物都忘了拍照，这是剩下的。,2026-05-09 20:59:23,0,0,,【0氟涂层】新风炎烤 6.5L,,2026-04-29 01:09:20,美的（Midea）空气炸锅不锈钢0涂层 2026新款家用实用大容量6.5L全自动空气炸锅蒸烤一体金属内腔 MF-KZE6559PRO
100327958810,j***6,5,这空气炸锅真不错，烤肉外焦里嫩，油渍也好擦，加热挺快的。操作简单，预设菜单很实用，厨房小白也能轻松上手，推荐购买👍🏻🏻,2026-05-07 22:38:47,0,0,,【0氟涂层】新风炎烤 6.5L,,2026-05-05 11:18:26,美的（Midea）空气炸锅不锈钢0涂层 2026新款家用实用大容量6.5L全自动空气炸锅蒸烤一体金属内腔 MF-KZE6559PRO
100327958810,江南烟雨2011,5,不错不错，大品牌值得信赖，颜值这块拿捏得死死，试了烤红薯就像小时候火堆里面烤的一样香,2026-05-09 17:08:33,0,0,,【0氟涂层】新风炎烤 6.5L,,2026-04-28 20:13:04,美的（Midea）空气炸锅不锈钢0涂层 2026新款家用实用大容量6.5L全自动空气炸锅蒸烤一体金属内腔 MF-KZE6559PRO
100327958810,j***r,5,这款空气炸锅，颜值比较高，放在厨房里面，看起来整体搭配上会很清新。这2天烤了排骨和贝贝南瓜，整体的效果都还是可以的，而且与烤箱比起来烤时间比较短，效率很高，烤出来的东西口感上面还是挺好,2026-05-11 16:31:58,0,0,,【0氟涂层】新风炎烤 6.5L,,2026-05-09 10:39:59,美的（Midea）空气炸锅不锈钢0涂层 2026新款家用实用大容量6.5L全自动空气炸锅蒸烤一体金属内腔 MF-KZE6559PRO
100327958810,2***n,5,很好用，6.5 升容量也挺大的，然后上面的一些指示也比较清晰，而且比我之前买的那个，它的视窗是透明的确实会更方便这个操作,2026-05-11 22:17:11,0,0,,【0氟涂层】新风炎烤 6.5L,,2026-04-30 18:58:06,美的（Midea）空气炸锅不锈钢0涂层 2026新款家用实用大容量6.5L全自动空气炸锅蒸烤一体金属内腔 MF-KZE6559PRO
100327958810,法学院红领巾,5,美的空气炸锅真的太棒了！加热速度快，不用翻面也很均匀。炸出的薯条外酥里嫩，低脂健康，清洗也超方便，完美替代油炸！,2026-05-08 18:09:06,0,0,,【0氟涂层】新风炎烤 6.5L,,2026-04-28 15:43:43,美的（Midea）空气炸锅不锈钢0涂层 2026新款家用实用大容量6.5L全自动空气炸锅蒸烤一体金属内腔 MF-KZE6559PRO
100327958810,卫大华,5,外观大气很有档次，功能齐全实用性很高，还有专属的新风炸功能，做出的食物更酥脆，很喜欢！,2026-05-08 10:18:28,0,0,,【0氟涂层】新风炎烤 6.5L,,2026-05-07 23:38:59,美的（Midea）空气炸锅不锈钢0涂层 2026新款家用实用大容量6.5L全自动空气炸锅蒸烤一体金属内腔 MF-KZE6559PRO
100327958810,露***噜,5,非常好用，空间够大，功率够大，烤鸡翅12分钟左右很快就烤好了，也很好清洁，推荐购买,2026-05-06 15:26:50,0,0,,【0氟涂层】新风炎烤 6.5L,,2026-04-08 14:58:22,美的（Midea）空气炸锅不锈钢0涂层 2026新款家用实用大容量6.5L全自动空气炸锅蒸烤一体金属内腔 MF-KZE6559PRO
